overall,vote,reviewTime,reviewText,summary
2,0,2015/11/23,Way to slow,1448236800
1,0,2006/10/15,"I am very technical and paid very close attention to the instructions.  I even went to a forum where the HP Product manager was giving advice and distributing patches.  I made numerous changes to the WinXP operating system trying to speed things up.  As others have reported, I made many coasters (bad DVD's).  Yes, I tried several brands.  I finally gave up and sent it back for a refund after a month and many, many hours of effort.  I think the USB interface is the weak link.  The unit had trouble reading marginal VHS tapes, it had timing problems where the voice would not match the actions and even got worse as you progressed through the movie.

I got rid of the unit and bought an internal ATI video card, a plextor drive and Nero burning software.  I had this running the first night.  Sure wished I'd done this at first, but I was depending on the HP quality - which I didn't find this time.",Product just doesn't work.
5,6,2009/1/12,Great Product Works Great with Logitech Harmony,1231718400
5,0,2014/6/3,Works well,1401753600
5,0,2016/4/15,"This thing keeps the laptop running cool and it adjusts to fit about any position . The only thing I haven't got around yet is the stops that hold the laptop from sliding off are a bit too high and interfere with typing, I'll get over that. All in all a really good buy",It does the job
2,0,2015/5/26,Cheaply made,1432598400
4,0,2014/2/12,"Would not work on my Barska bionoculars. Had to send it back. Looks well built and is a great idea, just need to make sure your binoc's have the removable screw in the front, or an open internal thread.",didn't fit
4,0,2007/2/23,"I have had a few problems with the product but it gets the job done, I am happy with it.",DVD recorder
3,0,2014/8/17,Ok quality.,Ok
1,8,2013/4/16,Not Happy,1366070400
4,0,2013/2/6,Good amount of screws,1360108800
4,0,2017/5/5,Bought it for my son's XBOX 360 and it works fine.,... it for my son's XBOX 360 and it works fine.
2,0,2015/5/12,Decent replacement. Not recommended for laptop that isn't stationary.,1431388800
3,0,2017/11/21,not for small ears,1511222400
5,0,2015/5/27,Great sounding speakers,1432684800
5,0,2014/4/18,"Works great for my older Onkyo AV amp.  Pairs quickly and sounds great.  Love saving money, don't have to by a new amp.  Recommended.",Modernized
4,0,2017/8/30,"After about five feet, they don't connect to the USB dongle.",Short distances only
3,0,2017/7/12,The plastic keycap pullers that come with keyboards and keycap sets are easier to use and less flimsy. The o-rings are really what I needed though.,The plastic keycap pullers that come with keyboards and keycap ...
2,0,2010/9/16,"had the TV for just over 12 months and the TV now likes to change the input all by itself.  To make matters worse, the only way to correct it is to unplug the unit.  The only other problems with this TV is that it runs very hot (but it is Plasma so it's expected) and that it has an audible buzz while the TV is on.  On the positive side, fantastic picture quality across the board.  I am going to test out the extended warranty through Amazon/Square Trade.  I'll report back more then.","low cost, low quality"
5,0,2016/12/15,Great quality for a decent price.  Tiffen is consistently a good filter brand...,Great quality for a decent price
1,0,2015/11/6,"Item description is wrong, does not contain all claimed items.",1446768000
3,0,2015/8/18,"This tweeter comes with an inline crossover which means that it comes with a capacitor that acts as the high pass filter. The black wire must be connected to the positive wire from your (car) stereo and the back/white wire connects to the negative wire. I recommend soldering for the best possible quality and also reliability.
replaced the Bose tweeters in my Nissan Murano 2005. better than OEM, more details, louder, clearer. but not by that much. the quality of sound that I got is a little middle of the road, sometimes the sounds gets too shrill and also muddy. I don't see what people are raving about. maybe it will improve after some burn-in time since I have only listened to it for half an hour. in that case i will update. right now not too impressed.",better than OEM
5,4,2014/3/31,Bought this for a trip and I must say the battery life is amazing and it did what I wanted it to do. I am very pleased.,Good compact video camera
1,0,2014/6/14,GARBAGE,1402704000
4,0,2018/4/16,Four Stars,1523836800
1,0,2015/12/12,"I bought a bunch of those, and they simply don't plug into my tablet or my phone. They just don't work!",1449878400
1,8,2013/11/7,"I was distracted by the price and didn't look at the features closely enough while comparing - A terrible value.  It is easily burdened by software, has no optical drive, or SD reader.","Slow; No SD Card reader, No DVD"
5,0,2012/2/18,Good security at a good price,1329523200
2,0,2014/1/12,Roku 2 Error 014,1389484800
5,0,2016/7/17,No Complaints,1468713600
3,11,2005/2/1,"There is a small but growing community of people world-wide who are using this device as a very low-cost, low-power Linux box.  If you are buying this for that purpose, it's a great product.  I love it for what it is.

I would not recommend this to anyone who is not a Linux hacker enthusiast or a professional network administrator.  Mine did not work at all until I plugged in a new USB 2.0 flash drive (it didn't even appear on my network with just a USB 1.1 external hard drive attached to it).  The documentation, such as it is (mostly on the CD that comes with the device), frequently defaults to such helpful suggestions as ""if this doesn't work, see your network administrator.""

In my experience, it is a lot easier to buy a second hard drive and install it in your PC than to setup one of these on your home network.",This is not a consumer product for the home market
5,0,2016/7/10,Works well.,1468108800
5,0,2012/9/23,This cheap Lucky Electronics' USB adater works,1348358400
1,6,2011/12/1,"Like others, received the A21 instead of the A31.  Not happy!",1322697600
2,0,2014/3/4,Does not support 1080P even when it claims it does on the add and description,1393891200
1,9,2013/1/17,"I'm sure they'd work fine, but not if you have molding around your doors",1358380800
5,0,2009/11/3,"My husband bought me several of these binders, and I've been so pleased with the organized storage they provide.  My entertainment center was a mess before, and it was difficult to see what dvds we had or find what we were looking for.

Now the dvds are organized by categories (kids, adults, religious, etc.).  My entertainment center looks orderly and classy.

Each binder has a place to insert a title on the binding, so you can find the right book.  It is a binder, so you can add more pages.  You can use it to store cds or dvds.  It works just right!  As good as I expected it to be.",Great Product for Organizing
3,2,2012/11/28,Looks Great But Not worth it.,1354060800
1,2,2012/4/5,"It worked OK for awhile. Then just stopped a week after I got it. Got it from China, and haven't heard back. If you have $40.00 to throw away. Buy this, or just get 40 one dollar bills and toss them out your car window. DON'T get it from China or A@@ Expre&&. At least if you buy it from Amazon, they have your back.",Worked OK for awhile
4,0,2017/5/17,"Working great so far. Can't keep more than three devices on wifi stably, but it may have nothing to do with the router itself.",It works
3,0,2014/2/7,Does the job,1391731200
4,0,2014/11/5,"I've had a few ergo keyboards and feel this is the best yet.  Like the others, it takes a little getting used to before your keyboarding speeds and accuracy get back to normal but it has done wonders to reduce the wrist pains I was experiencing.  The separate 10-key is a little difficult to get used to but I'm guessing it would be great if you were a leftie.",Works as advertized.  Separate 10-key would be great for lefties.
4,0,2008/11/10,Very solid,1226275200
1,0,2015/4/15,Waste of my money !,1429056000
2,0,2015/8/3,"The touchpad is awful, very unresponsive. It's set ...",1438560000
2,0,2014/3/16,"It worked for a while, but it finally quit. The prints started coming out with streaks and nothing I can adjust would get rid of it. Bought another one, it did the same thing. I went to Epson portable, and wished I had gone to it first.",Piece of junk
3,0,2012/12/12,See...here's the thing...,1355270400
1,4,2015/10/7,"Electrically fine, mechanically broken",1444176000
3,0,2015/10/21,cheaper now adays,1445385600
1,3,2015/6/10,"I did not buy my XPS 2720 from Amazon but rather from Dell. It was purchased in October 2013. The first hard drive failed in November 2014, three weeks after the warranty expired. I paid Dell to replace that failed HD. Then that HD failed within a few weeks after I got the unit back. Then it really went south when early this year I began the most frustrating, maddening experience I have ever had with any company. Dell shipped me a ""refurbished"" replacement unit. The CPU fan in the refurb unit began squealing like a pig. So Dell sent another refurbished unit. Same thing (squealing CPU fan) with that second refurb unit Then, believe it or not, they shipped a third refurbished unit. The CPU fan squealing was evident in that unit as well.  All of theses units, including my original purchase, were mid-2013 manufactured WIN 8.0 models. Dell had me ship the third replacement back to them in Houston to ""fix"" the CPU fan. The fan was out of stock. But eventually they ""repaired"" it. I got the third refurb unit back about three weeks ago. It has the same loud, very noticeable and very annoying noise as each of the refurb units. Throughout the six months I have dealt with this I have wasted countless hours installing and re-installing software, OS updates, file replacement, accommodating FEDEX deliveries, etc., etc., etc. It has been the absolute worst customer service and product quality failure I have ever had...for any product. And I'm a long time Dell customer.

I think Dell has lost their way. They farm out all customer contact to their overseas contractor. These days I recognize that that is not all that uncommon. Their off shore service people are polite to a ""T"" and of absolutely no value in solving real problems. After five months of this I finally
wrote a personal letter to Michael Dell on the 22nd of May. I had to resort to that because there is no way to actually talk to or exchange emails with a live Dell employee in Round Rock. The company has so intentionally insulated itself that it is impossible to contact anyone there other than by snail mail. I did not ask Mr. Dell to intercede. I simply asked him to have one of his people give me a call or email me. So far nothing.

I suspect Dell makes some good products. They certainly used to. But based on my experience I think you're playing the lottery if you hope to get a quality made product. So I would absolutely, positively stay away from them if you value customer focus, customer satisfaction, after sale support and your time. From a design standpoint the XPS 2720 is a gem. You won't find another desktop all-in-one that compares. But quality, reliability and and customer satisfaction has, at least in my experience, taken a back seat. Design means nothing if the product doesn't work. I loved my XPS 27 for about a year. But who has $2500 to throw at a new computer every year?",Look at Other Options
4,0,2016/5/25,Overall the majority of the pictures turned out.  All flashes seemed to be working from what I could tell.  For the price paid and the # of camera's  you get I was satisfied with my purchase.,Worked out better than expected!
3,0,2014/5/29,"I had a Fuji T200, which took great telephoto pictures but sometimes did not autofocus and the screen was dim in the sun.  The T550 has good AF and bright screen, and pretty quick turn-on and shot-to-shot times  -- no complaints about the operation.  But the long telephoto was blurred (even when camera was on a base).",fun camera but blurry telephoto
1,0,2015/12/22,Be very very careful!,1450742400
3,0,2015/10/11,Works but not great quality sound.  Cheap fix for older cars that do not have blue tooth. Otherwise it takes a lot of interaction and shouting.,Meh
3,0,2005/9/7,"I've had this  mp3 player for a couple of weeks and for the most part it is a pretty good buy.

Pros: SMALL (almost too small), no need for propietary software like ipods and other brands, can use windows explorer to drag and drop songs and other files, 1 gig is more than plenty and can easily hold over 250 regular sized songs, really liked the fact that it is one of the only mp3 players that also have a direct line in and built in microphone

Cons: Biggest drawback, cant browse through other songs while current one is playing such as in Ipod or Iriver, I found volume to be a bit low when trying to play through car stereo (this might be the same for other players I don't know), since everything is controlled through one button I am concerned about how long it will last.",overall solid mp3 player
2,3,2012/6/1,Pancho for my Canon,1338508800
3,0,2014/8/18,could use a bit more QC and a few less bits of plastic but mostly I'm satisfied.,1408320000
5,0,2017/9/30,Five Stars,1506729600
1,0,2011/2/17,"Generic cable, NOT a Kenwood cable",1297900800
2,0,2009/8/24,Not impressed,1251072000
4,0,2009/9/24,Quality product in a small form factor.,1253750400
4,3,2010/5/14,"Feels sturdy, looks nice, takes up minimal space, sounds decent for its size and function: Bathroom time is fun again!",1273795200
4,6,2009/1/10,"For 2 to 3 hours of laptop use, this is great",1231545600
4,0,2017/12/19,Four Stars,1513641600
5,0,2015/10/28,Five Stars,1445990400
4,0,2016/7/9,Good for the price,1468022400
2,0,2015/4/14,The sound quality is not good and the battery life is horrible. The only good thing about this product is the price.,The sound quality is not good and the battery life is horrible
3,0,2013/5/22,"I'm going to agree with the other reviews regarding the Thule Perpektiv SLR toploader bag.  The quality is very nice with strong durable construction and the bag is aesthetically pleasing to the eye.  I brought the bag into the shower and the contents stayed dry. But, as mentioned this is a large one compartment DSLR bag for a very big lens.  It really isn't versatile enough to do anything else.

Because of how tight this bag stays against your body and the different body positions you can situation the bag, this is really a bag for adventure enthusiasts.  I think snow activity enthusiasts, pro-climbers and extreme hikers would find a use for this bag since it offers secure positioning and protection from the elements.","5 stars if it fits your needs, otherwise probably not your bag"
4,0,2016/4/22,"Only one of the two included adapters worked. I was able to isolate the problem as being the connector by switching cables, ports, and even screens, making it clear that the only failing part of the process was connector. However, the adapter that worked, combined with the price and quick shipping leaves me giving this 4/5.

Do note, the HDMI cable will not fully slide into the slot on the adapter. This isn't a drawback, especially when these are used on the back of a graphics card or TV, but if you used this, say, on the side of a laptop, you might run into some problems with it not seating fully or being flush.",Only one of the two included adapters worked. I ...
4,0,2015/1/24,"Easy to work with, plugs directly into the Leviton surface mount enclosure",Four Stars
3,0,2013/11/16,"Seems to work ok but let's face it, these things are no longer relevant.  By the time they detect anything, it's too late.  Most police use laser.
I used it for a while, but then put it in my glove compartment since it's more annoying than anything.  I will keep it for when I go on a trip, but for everyday commuting it's useless since most people know where the cops are already.","Good, but Obsolete"
1,0,2016/4/1,"It's used but it works fine. However , I expected it to have DVIin, but it has only RGB.

Update: hsve problem with contrast and brightness. The screen looks like covered with fog. Contacted the seller but they had just one month to return.",It's used but it works fine. However
4,0,2012/12/28,Very Nice!,1356652800
4,0,2014/4/26,Bought a Passport Max RD and needed a extra visual alert. This smart cord helps but could of had a super bright red led. Might take it apart and add one.,For My Motorcycle
4,0,2015/4/25,It fits perfectly.  Provides good protection.,Provides good protection.
3,0,2017/5/19,"This does not have software. The version of 920 does but this has the superior picture at 930. But the old software programs are not compatible. Or cannot use this cameras full capability. Plus it always seems to auto focus even when I don't want it to.

Quite honestly this camera is overrated. Feel free to look elsewhere for a better camera.",An odd choice
2,3,2016/12/18,As soon as I opened this the battery compartment lid broke.... the white ring was misshapen and didn't fit properly.....,Dissappointed
2,8,2008/10/11,No 24p playback,1223683200
4,0,2018/2/12,Good quality item,Four Stars
4,0,2014/9/24,Happy with transaction. Received quickly and works as it should!,Leather case with bluetooth keyboard... just what I wanted!
4,27,2008/6/16,The Intel Core-2 Quad 9450 - Great Performance at a Price,1213574400
5,0,2014/12/28,Five Stars,1419724800
1,0,2016/8/12,Get what u pay for,1470960000
1,0,2015/4/6,From my experience these DVD-R did not meet my expectations high failure rate I can say this because I tried Verbatim DVD-R  work and they work everytime,From my experience these DVD-R did not meet my expectations ...
3,2,2013/7/24,review,1374624000
4,2,2009/2/5,Altec Lansing T612 - Good buy for the money,1233792000
3,0,2013/9/10,Keyboard works fine and it does provide some protection to the unit.  The bottom flaps keep working out and get in the way of the charging cable.,Doesn't fit right
5,0,2013/3/19,"I got two of these last fall and had no problems completing trunk release mods on my 2011 Honda Civic Coupe & Honda Element. I did use different switches, but everything you need is in the kit. If you are going to do a trunk release mod there is lots of info, forums, and videos on-line.  Go for it, these worked great for me.",Nice trunk release for my Honda Civic & Element
4,0,2017/5/14,good,Four Stars
4,19,2006/7/11,"These sound pretty good, considering they are wireless. Most people won't be able to tell the difference between a wireless vs. wired headphones. If I was mixing audio professionally, I probably wouldn't use these. If I'm watching a movie, or listening to tunes at my computer while I work, these are great.

If you take off and walk away from the base, you'll get crackle and fade. This is kind of a no brainer, I don't see why some reviews make this an issue. If you live next to an airport, a secret military installation, or the SETI array or something... then you'll probably have a lot of background noise...but for most people these are pretty good on the noise/greatness ratio.

Pros

----

-No cords.

-Good sound.

Cons

----

There is this really f***ing annoying ""BEEP"" tone that happens whenever there is no signal being broadcast. So if you put these on before you click play, you get this annoying, repeated ""BEEP"" tone. It reminds me of some of those retro games: when you're low on energy the beep was so annoying you'd look for places to kill yourself just so it would stop, the headphones have this whenever there is no broadcast signal.

All things considered, I would recommend these.","Good sound, annoying beep tone..."
4,0,2013/10/8,"(Using CANON REBEL XS) I purchased this lens last year (2012) and I'm very pleased with it. The one I have is made in Japan, but was still at a low cost price.

I originally purchased mine because I wanted to experiment with snowy landscaping compositions, and it also can make a glass snowball effect. But, since I'd purchased it in Autumn, I couldn't help being curious as to what it would look like if I tried some autumn foliage experiments.

It has a unique glassy distortion effect around the edges.
It doesn't quite warp your photo as much as other fisheye lenses might, but it's very fun to play with.

I would recommend using this lens WITH a UV filter because the glass refraction causes many images, especially when shot at noon or mid-day, to look too white-washed. Using a typical UV filter will solve this problem.

I recommend using this in dimmer times of the year, especially winter (outdoor), and especially post Autumn equinox, but also pre-spring equinox.

Not so great for indoor use.",pleased with this lens
3,0,2015/10/23,"The modem arrived on time and worked fine. What I didn't know was that AT&T does not allow customers to use their own equipment. As a result I could not get a break on the monthly fee based on owning my own modem. However, when I told them my story they were kind and compensated me in other ways.",No price break for ownership
3,0,2015/6/22,"it would be fine, but I need that extra protection",1434931200
3,0,2014/7/31,Bueno,Three Stars
3,0,2013/2/23,HEADPHONES - short life,1361577600
4,0,2016/7/14,This unit runs extremely hot at 5 amps and it is too small for a heat sync.,Four Stars
1,10,2013/9/12,nice looking but...,1378944000
5,0,2014/9/26,Just get it.,1411689600
3,18,2009/1/19,Good for Limited Situations,1232323200
2,0,2016/6/21,"Plain and simple. I don't like it. The punch-down ports on the back are tiny, not the standard size you would expect on a 66 or 110 block. It just makes it really annoying to deal with for installation. For the money, just get the one Home Depot keeps on their network aisle. Granted, this has nothing to do with performance, but either these work or they don't. The average end user is not going to see any difference between brand, so it's about installation and price at that point.",Tedious to use.
2,0,2017/11/8,"Amazingly, consistently poor design.  There's no single terrible thing about this radio it's just all mediocre in the extreme.  Let's count the ways:

1) Not very loud
2) Antenna is weak
3) Sound quality is fine, not great
4) The 2 compartments are awkward to open  especially with gloves on (like on a jobsite!)
4a) The USB/sound ports could be much better integrated within the compartment for actual use with an iphone or ipod
5) Volume knob is weird -- sometimes you have to turn it a lot to get it to respond
6) It must sit on a flat surface -- it easily tips off anything that isn't perfectly flat
7) Expensive
8) Really wish the designers had jobsite experience, and weren't just designing stuff to make it 'new'

Two stars, out of five -- perfectly sums it up.
8) Charges the battery just fine","Utterly, Amazingly Mediocre"
2,0,2011/5/13,sturdy but audio sounds "muffled" and mic is not very sensitive,1305244800
1,0,2015/12/7,Buy someting else,1449446400
1,0,2015/3/24,"Poor picture quality, sound is awful (contrary to their PR about this TV)  Takes forever to turn on.  Ditto for the response time to remote.  Annoying blue power light always on.  Within 2 months I bought a better tv and demoted this to bedroom.  Had to put tape over blue light, it lit up the whole room.  Although only used an hour or two each night, at one year and 2 days, the screen fails to light up.  I have posted a review for LCD version of this tv, then upon checking, found out I really bought this more expensive LED version.  Would give it NO STARS if it were possible.  Back to old reliable Sharp CRT tv.  WILL NEVER BUY COBY AGAIN.  BUYER BEWARE.",WORST TV EVER
5,0,2013/11/18,B+W 67mm nano (007M),1384732800
1,0,2013/10/13,Would like to review product; if I would have actually received it...,1381622400
5,0,2015/12/25,Five Stars,1451001600
4,0,2017/9/28,"I bought this product at sams club when going to buy groceries, isually i always buy at amazon but this was at a smokin hot deal at $9.99. I knew the router was crap when buying it but that was not the point. At home i have a high end enterprise network setup and did not need this router. However, when i bought it i when into flashing dd-wrt to do sone cool tricks. I decided to use this for a project called MOBIFI. I know awful name, but i spliced the wires and grabbed a usb cable and ghetto taped them together. I hooked up the router to my powerbank and to my laptop which is intercepting internet through clockworkmod tether from my phone. When using this router for this project i noticed that when using both 2.4 and 5g on WIDE HT, T
the router kept boot looping. Based on my troubleshooting and close analysis of DD-WRT,
'S system status, the CPU isn't powerfull enough to sustain both 2.4 and 5g networks. Thus boot looping. So, if you bought this router, do this:

-flash dd-wrt. Its easy to do and extremly hard to mess uo.

- setup the new os with nothing connected to Wi-Fi and have your pc or laptop hardwired. There are many tutorials online.

-head into wireless, set 2.4g wireless network mode to DISABLED.

- under 5g, set wireless network mode to N ONLY,  and set the channel with to WIDE HT 40 20+20.

-Save changes and you're done.

** some devices only support 2.4 g and may not see the wifi netowork if you perform what is above. This is typical with really really cheap phones or legacy devices.",DD-WRT To the rescue.
3,11,2008/12/18,"Yes these are cheaply made as evidenced by the price.  They are basically a toy, but the people who complain that they don't work on CB radios and the like, simply didn't read the Description which states ""with boom microphone will make conversing on your Midland family radio easier and more convenient.""  These are ONLY for FRS Radios from Midland, but may work on other FRS radios as long as they have the same plug arrangement.  BTW, FRS stands for Family Radio Service as in Motorola TalkAbouts and the like, NOT CBs.  Remember, if it sounds too good to be true, it probably is.  Good headsets like this cost anywhere from about $75 up.",Read Product Description and You will Know
4,0,2014/8/29,"Decent cable, but strange anti-snag",1409270400
5,0,2016/8/4,Works just as you would expect. There's nothing really special about this adapter as it does exactly what it's supposed to do. It works great.,Just what you would expect.
4,0,2014/11/10,Four Stars,1415577600
4,0,2017/1/7,great,Four Stars
5,0,2015/12/17,Great,1450310400
4,0,2008/9/30,A great little camera,1222732800
3,0,2015/2/6,Three Stars,1423180800
4,0,2015/6/18,Notorious S.H.O.W.E.R.,1434585600
4,0,2014/9/23,"The case is sturdy and is the size that I wanted. I feel that it offers adequate protection based on the amount of padding, but I would have foregone a tad of protection for a bit more interior volume. I struggle to get the camera and two lenses neatly inside the bag and I feel that this is what many are looking for in this size bag.",The case is sturdy and is the size that I wanted
1,3,2014/6/23,"June 23, 2014
I have been having trouble with the wireless connection/speed since I bought it in December 2013.  Through the wired connection I can get 50Mbps+, yet through the wireless, I have never been above 20Mbps.  The ping times are also horrible on the LAN.  After talking with multiple tech support staff to troubleshoot this issue, I was finally able to get this response from the last one I talked to over online chat:

TechSupport: I am going to help you have this device replaced. It has been proven defective.
You: ok, thank you
TechSupport: Please call our RMA Department so that they can validate your application. You can reach Customer Service Department at 1800 546 5797 (Options 3-3-4). They are available from Mondays through Saturdays, 5:00 AM to 8:00 PM PST; Saturdays 8:00 AM to 5:00 PM PST. The proof of purchase is required in order to process your RMA application. Otherwise, we will not be able to process your replacement request.

Let's hope the return process goes smoothly...

Update (August 8, 2014):
Finally got the product approved to be replaced at the local store (a month and a half later).  The replacement has the same exact problem as the last one.  I spent over 7 hours on this issue today with 6 different tech support people.  Each time, I had to re-explain the situation in detail, only to get the response ""so you router is slow?""  What a waste of time.  This one has also been proven defective.  I am only able to get 2-16 Mbps over wireless.  Now I have to try to deal with walmart customer service again to convince them that I am not a scam artist trying to get a free router.  All I want is a refund, so I can buy a different model. Seriously Linksys..  after 2 hours of not being able to diagnose an issue, you should either send someone to come fix it, or offer the option of immediate refund.  7 hours at the mercy of support people reading the same scripts over and over, asking me the same thing over and over, giving me the same non-working solution every time...  It's just cruel.  I think I'll send you a bill.",Product has been proven defective
4,0,2013/12/31,I GAVE THIS TABLET TO MY WIFE FOR A CHRISTMAS GIFT AND WHEN WE WENT TO HOOK IT THE INTERNET WE JUST HAD A HARD TIME TO GET IT TO CONNECT TO THE WIRELESS INTERNET THAT WE HAVE. AND SINCE YOU CAN'T DOWNLOAD ADOBE READER ONTO CHROME ANYMORE WE HAD TO DOWNLOAD FIREFOX ONTO THE TABLET INSTEAD. BUT CHROME IS STILL ON THERE FOR OTHER THINGS..BUT TO PLAY GAMES ON FACEBOOK YES YOU CAN GO ONTO FACEBOOK THROUGH CHROME BUT ONLY AS A GUEST OR SIGN UP TO FACEBOOK AGAIN. BUT NOW WE HAVE IT RUNNING THE WAY WE WANT IT AND MY WIFE  LIKES IT NOW. EXCEPT THE FACT THAT WE HAD TO DOWNLOAD FIREFOX TO CONNECT TO FACEBOOK. THE FACEBOOK ACCOUNT SHE HAD BEFORE ( CHROME WILL NOT DOWNLOAD ADOBE READER ANYMORE). SO YOU HAVE TO DOWNLOAD FIREFOX INSTEAD TO PLAY YOUR GAMES WITHOUT SIGNING UP TO FACEBOOK AGAIN. BUT OTHER THEN THAT IT WORKS FINE THE WAY WE ( SHE ) WANTS  IT TO WORK. SHE PLAY'S ON  IT A LOT WHEN SHES HOME SHE JUST PLAYS GAMES ON IT AND THAT'S WHAT SHE WANTED THE TABLET FOR.. BUT FOR ME IF IT WAS MINE I WOULD WANT MORE THEN ( 8 GB'S )  AND A FASTER RAM AND A BIGGER SCREEN FOR ABOUT THE SAME PRICE RANGE AS WHAT I PAID FOR THE SLATE 7 INCH. ( OLD VERSION ) I WOULD WANT A 10" OR 12" TABLET BUT I DO A LOT MORE THAN SHE DOES SHE JUST PLAYS GAMES AND A FEW OTHER THINGS. I'M ON THE INTERNET A LOT MORE AND I DON'T PLAY GAMES VERY OFTEN BUT THATS WHAT I WOULD WANT THE TABLET FOR. BUT THEN AGAIN THAT'S JUST ME.BUT MY WIFE IS HAPPY WITH THE TABLET AND THAT'S WHAT I WANTED FOR HER TO BE HAPPY WITH THE TABLET.TO BE ABLE TO GO A THE INTERNET WHEN SHE WANTS TO TO LOOK UP WHAT EVER SHE WANTS TO LOOK UP.,HP SLATE 2800 7-INCH 8 GB TABLET ( OLD VERVSION )
2,0,2015/2/3,"Stopped connecting to my S5 Active. It refused to connect once and I just unpaired and then paired it again, then it happened again a month later, and now it just refuses connection completely. Couldn't connect after resetting it 4 times and tried unpairing and pairing again but sadly that did not work either.

For the two-month period that it worked, they almost never left my neck, always had these things on me and they kept my ears surprisingly warm up here in Plattsburgh, great product, good sound, good for calls, utter trash in longevity.","great product, good sound"
4,0,2009/2/13,"Fairly priced, mid range earphones",1234483200
5,0,2015/2/19,Reduces Clutter,1424304000
4,3,2013/4/5,"I just wanted a chime when someone walks by. I don't want an alarm. This serves its purpose for a chime very well. I also like how the remote allows me to mount it in a high place and I can still control it. Batteries last a long time so this is good if you need to know if someone got out of bed or is walking down the hall.

Helpful for being alerted to children, the elderly, or people with health/mental risks.

I don't use it as a real alarm so I can't write about that.",Simple and easy. Great to know when someone is moving.
3,0,2015/1/24,Three Stars,1422057600
1,0,2009/7/12,"I thought I was getting a great deal on this product since it seemed so much cheaper than all of alternatives. However, be warned. This product will not last terribly long.

The product lasted me just a few months before lines started appearing on my 22"" LCD HDTV. At first I thought it was the TV, and I didn't suspect the cable, but then I realized that I had to wiggle the cable for it to work. At first wiggling was fine, but it got annoying when the TV would stop being recognized by my computer and then I'd have to wait for the TV to be re-recognized and then for everything to settle again. I ended up purchasing a $20 DVI to HDMI cable made by Belkin since the original product was past warranty. The Belkin cable has has been awesome since. It's definitely worth a few extra bucks for a quality cable that will survive even a little movement and bending.","Low Quality, Would not recommend"
3,0,2014/3/20,"One works, the other doesn't.",1395273600
2,0,2014/3/10,"Luckily I bought this cheap filter to just act as a lens cap for my 85mm lens, but the glass recently (two weeks old) started spinning within the metal frame of the filter, so when I clean it, it spins round and round. Would like a replacement, but for the $8 spent on it, it's not really worth pursuing.",Glass spins in the frame
1,0,2015/1/21,One Star,1421798400
3,2,2013/7/7,no complaints but i am not blown away,1373155200
5,0,2017/9/16,A Great Radio,1505520000
5,0,2017/1/5,Five Stars,1483574400
4,0,2012/3/22,I order this case for my grad filters and it works perfectly.  Only wish there was a little tab I could write on to show which filter is in which slot.  Otherwise it's perfect!,Perfect case
2,0,2012/3/9,Doesn't work well for Corsair H80 Fan Replacements,1331251200
5,0,2013/12/10,I don't know why I haven't bought a Roku before now!,1386633600
2,13,2014/2/18,"I use the micro 4/3rd camera format which is much smaller than the typical DSLR, so when I saw this advertised as a ""Large DSLR Gadget Bag"" I expected that I would have more room for my micro 4/3 gear. Short answer: Nope. It's the equivalent of buying a shirt marked XL and finding out it's barely suitable for the typical ""medium"". I had looked at other bags which were more expensive but the lure of the price had me clicking ""Buy-it-now"", which I now regret. Will I use it? Doubtful. I'll probably go to my local Camera store and pick one that is suitable.",Large? In what universe?
5,12,2013/12/30,great product,1388361600
3,0,2014/5/3,"Drive is quiet and in working order. The drive came generically packaged and the HDD controller board's IDE connector solder pins looked rusty. Came with one year warranty, yet I purchased the two year.
Price was right for a drive of this type and size.

I would buy again from this seller without hesitation.",Works in my DVR
2,0,2015/11/18,Get what you pay for.  Lasted 1.5 years before the power supply blew.  Was good 'til then...,Go with LG or Samsung
2,0,2017/10/30,doesn't work as well as expected.,Two Stars
3,0,2015/12/25,I use this to find addresses while delivering packages and ...,1451001600
3,0,2015/3/8,Ok,1425772800
5,0,2018/3/4,Great Product and super fast delivery.,Five Stars
4,2,2017/10/15,"For an inexpensive keyboard, these are pretty good. The paint on the keys will wear off fairly quickly, and for that I deduct one star. Other then that, they work well and have a good feel.","Sturdy, but paint wears off of the keys after a while."
2,0,2014/1/17,crossover?,1389916800
4,0,2013/11/25,"PROS:

- Kinect sensor is solid and improved.
- UI is lag free and clean.
- A lot of solid titles were released.
- Apps are solid.
- Solid box console. I like that it has weight and bulk to it. A fan won't blow it over unlike other consoles.
- The controllers are great for my big hands.
- Setup was easy.
- Resume game feature is great.
- Startup is super fast (As long as you have Quick Startup Enabled).

CONS:

- Optical drive is a little noisy. I hope my console doesn't turn into that known issue.
- Controller D Pad down button clicks like a circuit is misfiring when pressed.
- UI is improved but navigation is a train wreck in my opinion.",Great Next Gen Console. Improvements Still Needed.
5,0,2015/1/4,Assembled quickly and easily. So much better than having the TV on ...,1420329600
5,0,2017/2/26,Awesome router and a great replacement to my non-working TP-Link ...,1488067200
